A->A,A	B->B,B	C->C,C	D->D,D	E->E,E	F->F,F	G->G,G
1	83	5	0	8	0	15	43
2	74	4	3	0	0	16	46
3	76	5	0	3	0	15	45
4	82	4	0	3	0	16	41
5	85	5	0	0	3	17	38
6	82	4	3	0	2	17	34
7	80	5	2	1	0	16	42
8	80	4	8	0	0	17	42
9	75	5	11	0	0	18	39
10	74	4	0	0	0	18	42
11	81	4	7	1	0	12	50
12	80	4	4	1	1	16	37
13	84	5	1	2	0	14	38
14	68	8	8	0	0	16	44
15	80	5	0	2	0	16	42
16	81	4	5	0	0	17	36
17	75	5	4	0	1	16	44
18	72	4	1	1	0	13	49
19	82	4	1	0	0	15	41
20	74	8	3	0	0	15	43
21	89	4	2	0	2	22	37
22	87	4	4	0	0	14	38
23	76	4	4	0	0	19	41
24	86	5	3	0	1	16	40
25	85	4	5	1	0	16	37
26	78	4	0	1	2	17	45
27	71	5	1	2	0	18	47
28	89	4	0	2	0	13	40
29	87	4	4	3	0	21	41
30	78	4	4	1	0	18	44
31	81	4	5	0	0	18	41
32	75	4	7	0	0	17	40
33	86	4	3	1	0	13	43
34	74	5	6	0	0	12	38
35	71	4	0	2	0	13	46
36	74	4	4	0	0	18	42
37	84	4	2	0	0	20	32
38	86	5	2	4	0	16	42
39	82	4	3	0	0	10	43
40	84	5	0	0	0	18	42
41	82	4	6	0	0	16	40
42	77	5	3	2	0	20	33
43	81	5	10	0	0	18	44
44	80	4	1	2	0	12	43
45	79	5	1	1	0	15	38
46	73	6	7	0	1	24	39
47	75	6	0	1	0	16	43
48	77	4	1	1	0	16	50
49	72	5	11	0	0	15	44
50	82	4	2	2	0	16	45
51	80	5	4	0	0	19	39
52	82	4	3	2	0	12	42
53	93	4	0	0	0	17	40
54	86	5	2	3	0	14	43
55	67	7	0	1	0	16	44
56	82	4	4	0	0	13	43
57	74	7	9	1	1	13	46
58	79	5	5	0	0	17	36
59	78	4	1	0	2	17	45
60	66	4	0	0	2	20	45
61	78	4	0	1	0	18	39
62	82	4	7	0	0	20	32
63	85	4	2	0	0	19	35
64	81	6	7	0	0	15	41
65	76	4	6	1	0	13	41
66	81	4	8	0	0	16	41
67	72	4	2	1	0	13	44
68	82	4	9	0	0	16	49
69	74	4	5	1	0	18	42
70	85	5	3	0	0	19	35
71	88	4	2	0	0	18	37
72	81	5	3	1	0	18	45
73	89	4	6	0	0	17	42
74	87	4	0	3	0	13	43
75	78	4	1	0	0	16	37
76	77	4	4	1	0	19	42
77	75	7	1	0	0	11	46
78	81	4	11	0	0	13	41
79	95	4	0	2	0	14	43
80	81	4	2	1	0	16	46
81	84	4	5	0	0	17	41
82	83	5	1	3	0	16	40
83	85	6	1	1	0	16	39
84	82	5	6	1	0	16	45
85	85	4	5	0	0	19	40
86	91	4	2	0	0	16	45
87	84	4	0	2	1	20	42
88	82	5	0	3	0	14	41
89	81	4	10	0	1	17	43
90	72	4	6	1	0	13	41
91	92	4	0	0	0	16	45
92	72	4	5	3	0	17	43
93	83	4	1	1	0	14	43
94	74	6	1	1	5	17	40
95	78	4	11	1	0	17	38
96	76	4	2	2	0	16	42
97	73	4	0	2	0	17	39
98	80	4	5	2	0	18	40
99	83	4	6	0	0	19	37
100	88	4	0	1	1	14	38
