A->A,A	B->B,B	C->C,C	D->D,D	E->E,E	F->F,F	G->G,G
1	82	4	4	0	0	16	42
2	79	9	4	3	1	22	39
3	81	4	1	1	0	12	45
4	84	4	3	1	2	18	32
5	78	4	1	1	0	17	38
6	77	4	7	0	1	16	43
7	72	4	5	0	1	16	46
8	73	4	3	1	0	16	46
9	82	5	5	1	0	16	44
10	68	5	9	0	2	21	40
11	95	4	0	1	1	19	41
12	74	4	0	2	0	12	41
13	80	4	4	0	0	16	33
14	76	4	3	0	0	11	46
15	69	4	6	0	0	15	42
16	77	5	7	0	0	14	46
17	75	6	6	0	0	16	40
18	80	4	6	1	0	21	41
19	79	4	0	0	0	19	39
20	76	5	7	1	0	19	37
21	81	4	0	0	0	17	42
22	73	4	6	1	0	19	40
23	81	6	6	0	1	14	42
24	84	4	2	1	1	17	44
25	76	4	2	0	0	18	37
26	78	4	1	2	0	13	44
27	73	4	10	0	0	12	41
28	78	4	7	0	1	16	39
29	88	4	11	0	0	14	41
30	91	5	0	2	0	16	39
31	82	4	9	1	0	13	46
32	81	5	3	0	4	16	40
33	87	4	6	1	0	19	37
34	87	7	0	0	0	16	45
35	74	4	10	0	0	20	41
36	73	4	8	1	1	18	40
37	84	4	4	0	0	18	37
38	79	4	0	2	0	16	44
39	80	7	0	3	0	13	43
40	84	4	4	0	2	19	40
41	74	4	2	2	0	17	44
42	82	4	4	0	0	14	39
43	80	4	2	2	0	18	40
44	78	4	4	0	0	17	42
45	88	5	3	0	0	19	37
46	81	4	2	0	0	16	42
47	85	7	1	0	0	20	45
48	83	4	5	0	0	18	42
49	81	4	10	0	0	19	35
50	89	4	8	2	0	16	37
51	87	4	5	0	0	16	43
52	86	5	0	0	0	16	41
53	87	4	0	1	0	17	41
54	83	4	4	0	0	18	46
55	80	4	0	0	0	19	44
56	76	5	2	0	0	15	39
57	75	5	0	6	1	18	45
58	84	4	4	1	0	13	42
59	86	4	0	0	1	16	43
60	74	5	0	0	1	19	46
61	80	4	7	0	0	19	35
62	83	4	7	0	0	18	38
63	86	5	0	0	0	21	36
64	86	5	5	1	0	19	38
65	90	5	0	0	0	20	36
66	82	4	1	1	2	20	36
67	84	4	8	0	0	15	38
68	84	4	4	0	0	16	42
69	83	4	6	1	0	14	42
70	82	6	5	1	3	17	41
71	86	4	7	0	0	13	40
72	78	4	4	0	0	16	39
73	75	5	0	1	2	18	43
74	89	4	2	2	0	19	35
75	75	4	7	0	0	18	44
76	84	4	3	0	0	18	48
77	77	4	6	0	0	18	42
78	80	5	3	1	2	18	35
79	86	5	6	1	0	21	40
80	92	4	0	1	0	12	41
81	79	4	2	1	0	19	38
82	71	4	2	0	4	15	46
83	88	4	4	1	0	13	40
84	80	4	8	0	0	16	43
85	96	4	3	0	0	18	42
86	85	4	3	0	2	21	34
87	85	4	0	1	1	23	37
88	84	4	0	1	0	14	43
89	79	4	5	1	0	16	41
90	82	4	4	0	0	15	49
91	90	4	0	1	0	15	39
92	80	4	6	0	0	15	41
93	77	4	6	0	0	17	39
94	79	4	7	0	0	14	41
95	83	4	5	0	0	14	47
96	85	4	0	1	1	16	39
97	73	4	8	0	0	19	39
98	80	4	2	2	0	17	46
99	78	4	5	0	0	20	41
100	87	5	0	3	0	18	43
