AB->A,B	ABC->A,BC	ABC->B,AC	ABC->C,AB	ABCD->A,BCD	ABCD->B,ACD	ABCD->C,ABD	ABCDE->A,BCDE	ABCDE->B,ACDE	ABCDE->C,ABDE	ABCDE->D,ABCE	ABCDE->E,ABCD	ABCDEF->A,BCDEF	ABCDEF->B,ACDEF	ABCDEF->D,ABCEF	ABCDEF->F,ABCDE	ABCDEFG->A,BCDEFG	ABCDEFG->B,ACDEFG	ABCDEFG->C,ABDEFG	ABCDEFG->D,ABCEFG	ABCDEFG->E,ABCDFG	ABCDEFG->F,ABCDEG	ABCDEFG->G,ABCDEF	ABCDEG->A,BCDEG	ABCDEG->B,ACDEG	ABCDEG->C,ABDEG	ABCDEG->D,ABCEG	ABCDEG->E,ABCDG	ABCDEG->G,ABCDE	ABCDF->A,BCDF	ABCDF->B,ACDF	ABCDF->D,ABCF	ABCDF->F,ABCD	ABCDFG->A,BCDFG	ABCDFG->B,ACDFG	ABCDFG->C,ABDFG	ABCDFG->D,ABCFG	ABCDFG->F,ABCDG	ABCDFG->G,ABCDF	ABCDG->A,BCDG	ABCDG->B,ACDG	ABCDG->C,ABDG	ABCDG->D,ABCG	ABCDG->G,ABCD	ABCE->A,BCE	ABCE->B,ACE	ABCE->C,ABE	ABCE->E,ABC	ABCEF->B,ACEF	ABCEF->E,ABCF	ABCEF->F,ABCE	ABCEFG->A,BCEFG	ABCEFG->B,ACEFG	ABCEFG->C,ABEFG	ABCEFG->G,ABCEF	ABCEG->A,BCEG	ABCEG->B,ACEG	ABCEG->C,ABEG	ABCEG->G,ABCE	ABCF->A,BCF	ABCF->B,ACF	ABCF->C,ABF	ABCF->F,ABC	ABCFG->A,BCFG	ABCFG->B,ACFG	ABCFG->C,ABFG	ABCFG->F,ABCG	ABCFG->G,ABCF	ABCG->A,BCG	ABCG->B,ACG	ABCG->C,ABG	ABCG->G,ABC	ABD->A,BD	ABD->B,AD	ABD->D,AB	ABDE->A,BDE	ABDE->B,ADE	ABDE->D,ABE	ABDE->E,ABD	ABDEF->B,ADEF	ABDEF->F,ABDE	ABDEFG->A,BDEFG	ABDEFG->B,ADEFG	ABDEFG->D,ABEFG	ABDEFG->E,ABDFG	ABDEFG->F,ABDEG	ABDEFG->G,ABDEF	ABDEG->A,BDEG	ABDEG->E,ABDG	ABDEG->G,ABDE	ABDF->A,BDF	ABDF->B,ADF	ABDF->F,ABD	ABDFG->A,BDFG	ABDFG->B,ADFG	ABDFG->F,ABDG	ABDG->A,BDG	ABDG->B,ADG	ABDG->G,ABD	ABE->A,BE	ABE->B,AE	ABE->E,AB	ABEF->A,BEF	ABEF->F,ABE	ABEFG->A,BEFG	ABEFG->B,AEFG	ABEFG->F,ABEG	ABEFG->G,ABEF	ABEG->A,BEG	ABEG->B,AEG	ABEG->G,ABE	ABF->A,BF	ABF->B,AF	ABF->F,AB	ABFG->A,BFG	ABFG->B,AFG	ABFG->F,ABG	ABFG->G,ABF	ABG->A,BG	ABG->B,AG	ABG->G,AB	AC->A,C	ACD->A,CD	ACD->C,AD	ACD->D,AC	ACDE->A,CDE	ACDE->C,ADE	ACDE->D,ACE	ACDE->E,ACD	ACDEF->A,CDEF	ACDEF->E,ACDF	ACDEF->F,ACDE	ACDEFG->A,CDEFG	ACDEFG->C,ADEFG	ACDEFG->D,ACEFG	ACDEFG->E,ACDFG	ACDEFG->F,ACDEG	ACDEFG->G,ACDEF	ACDEG->A,CDEG	ACDEG->C,ADEG	ACDEG->D,ACEG	ACDEG->G,ACDE	ACDF->A,CDF	ACDF->F,ACD	ACDFG->A,CDFG	ACDFG->F,ACDG	ACDFG->G,ACDF	ACDG->A,CDG	ACDG->C,ADG	ACDG->G,ACD	ACE->A,CE	ACE->C,AE	ACE->E,AC	ACEF->A,CEF	ACEF->F,ACE	ACEFG->A,CEFG	ACEFG->F,ACEG	ACEFG->G,ACEF	ACEG->G,ACE	ACF->A,CF	ACF->C,AF	ACF->F,AC	ACFG->A,CFG	ACFG->C,AFG	ACFG->F,ACG	ACG->A,CG	ACG->C,AG	ACG->G,AC	AD->A,D	ADE->A,DE	ADE->D,AE	ADE->E,AD	ADEF->A,DEF	ADEF->F,ADE	ADEFG->A,DEFG	ADEFG->E,ADFG	ADEFG->G,ADEF	ADEG->A,DEG	ADEG->E,ADG	ADEG->G,ADE	ADF->A,DF	ADF->D,AF	ADF->F,AD	ADFG->A,DFG	ADFG->D,AFG	ADFG->G,ADF	ADG->A,DG	ADG->D,AG	ADG->G,AD	AE->A,E	AEF->A,EF	AEF->E,AF	AEF->F,AE	AEFG->A,EFG	AEFG->E,AFG	AEFG->F,AEG	AEFG->G,AEF	AEG->A,EG	AEG->E,AG	AEG->G,AE	AF->A,F	AFG->A,FG	AFG->F,AG	AFG->G,AF	AG->A,G	BC->B,C	BCD->B,CD	BCD->C,BD	BCDE->B,CDE	BCDE->C,BDE	BCDEF->B,CDEF	BCDEF->F,BCDE	BCDEFG->B,CDEFG	BCDEFG->C,BDEFG	BCDEFG->D,BCEFG	BCDEFG->E,BCDFG	BCDEFG->F,BCDEG	BCDEFG->G,BCDEF	BCDEG->C,BDEG	BCDEG->G,BCDE	BCDF->B,CDF	BCDF->C,BDF	BCDF->F,BCD	BCDFG->B,CDFG	BCDFG->F,BCDG	BCDFG->G,BCDF	BCDG->G,BCD	BCE->B,CE	BCE->C,BE	BCEF->F,BCE	BCEFG->B,CEFG	BCEFG->C,BEFG	BCEFG->G,BCEF	BCEG->E,BCG	BCEG->G,BCE	BCF->B,CF	BCF->C,BF	BCF->F,BC	BCFG->B,CFG	BCFG->F,BCG	BCFG->G,BCF	BCG->B,CG	BCG->G,BC	BD->B,D	BDE->B,DE	BDEFG->B,DEFG	BDEG->G,BDE	BDF->D,BF	BDF->F,BD	BDFG->D,BFG	BDFG->F,BDG	BDFG->G,BDF	BDG->B,DG	BDG->G,BD	BE->B,E	BEF->F,BE	BEG->E,BG	BEG->G,BE	BF->B,F	BFG->B,FG	BFG->F,BG	BFG->G,BF	BG->B,G	CD->C,D	CDE->C,DE	CDE->D,CE	CDE->E,CD	CDEF->F,CDE	CDEG->G,CDE	CDF->F,CD	CDFG->D,CFG	CDFG->F,CDG	CDG->G,CD	CE->C,E	CEF->F,CE	CEFG->F,CEG	CEG->C,EG	CEG->E,CG	CEG->G,CE	CF->C,F	CFG->C,FG	CFG->F,CG	CFG->G,CF	CG->C,G	DE->D,E	DEF->F,DE	DEFG->F,DEG	DEFG->G,DEF	DEG->G,DE	DFG->D,FG	DFG->G,DF	DG->D,G	EF->E,F	EFG->E,FG	EFG->G,EF	EG->E,G	FG->F,G
1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
5	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	3
6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	4
7	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3
8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4
9	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	4
10	3	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3
