A->A,A	C->C,C	E->E,E	M->M,M	N->N,N	O->O,O	T->T,T
1	92	18	3	6	55	0	0
2	99	21	1	6	48	0	3
3	98	22	1	4	49	1	3
4	107	19	3	4	46	0	0
5	98	22	4	4	47	1	0
6	94	25	1	4	45	0	4
7	103	23	1	4	45	1	4
8	97	20	1	4	48	0	6
9	94	17	6	4	56	0	0
10	89	20	1	5	51	0	5
11	100	20	3	4	51	0	0
12	105	21	1	5	48	0	2
13	98	19	6	5	47	0	0
14	98	18	1	4	49	1	3
15	95	19	6	4	52	0	0
16	99	17	5	4	52	0	0
17	103	21	1	4	51	0	4
18	97	19	5	6	47	0	2
19	99	19	4	6	52	0	0
20	95	17	5	5	54	0	0
21	102	19	5	4	50	0	0
22	94	18	1	4	54	0	4
23	98	20	7	4	50	0	0
24	100	19	1	4	53	1	3
25	101	18	5	8	50	0	0
26	98	18	1	5	57	0	3
27	100	19	2	7	51	0	2
28	96	20	1	6	51	0	2
29	109	16	3	4	50	0	0
30	94	21	7	5	51	0	0
31	99	19	1	5	53	0	4
32	100	22	1	4	45	0	4
33	105	22	4	4	50	1	0
34	95	21	4	5	50	0	0
35	98	22	7	6	46	1	0
36	92	17	6	6	57	0	0
37	103	21	4	4	45	0	0
38	99	19	1	4	49	0	5
39	95	18	4	5	57	0	0
40	104	20	6	4	50	0	0
41	96	21	6	6	48	0	0
42	99	18	2	5	55	0	4
43	99	18	3	5	51	0	0
44	101	20	4	4	48	0	0
45	102	22	5	4	50	0	0
46	99	19	1	5	50	0	4
47	107	18	0	4	54	0	4
48	100	18	5	4	50	1	0
49	103	19	4	6	52	0	0
50	105	18	1	4	50	1	1
51	98	16	3	5	46	0	0
52	95	26	6	4	46	0	1
53	106	19	1	5	54	0	3
54	104	21	1	6	49	0	5
55	100	19	1	6	51	1	3
56	92	16	1	4	56	1	4
57	99	25	2	6	45	0	3
58	100	17	4	4	55	0	0
59	99	21	1	4	54	0	4
60	103	23	5	6	45	0	0
61	98	21	5	4	48	0	0
62	95	19	1	4	53	0	5
63	99	19	5	5	52	0	0
64	100	18	3	4	44	0	2
65	101	21	6	4	49	0	0
66	99	18	1	4	49	1	7
67	102	18	2	4	51	1	3
68	98	19	4	4	49	0	0
69	100	22	6	4	46	0	0
70	95	17	6	4	54	0	0
71	103	19	1	4	47	0	4
72	98	17	3	4	51	0	1
73	105	15	5	4	51	0	0
74	100	17	1	5	49	0	3
75	100	19	0	4	53	0	4
76	106	20	5	4	49	0	0
77	101	18	1	4	49	0	4
78	105	19	4	4	48	0	0
79	100	13	4	5	55	0	0
80	93	24	1	4	49	1	4
81	90	18	2	4	58	0	6
82	104	23	7	4	44	0	0
83	92	21	6	5	53	0	0
84	103	23	6	4	49	0	0
85	106	21	1	4	48	0	2
86	108	21	2	4	45	0	1
87	102	18	1	4	46	0	3
88	105	17	6	5	50	0	1
89	100	18	4	4	48	0	0
90	107	18	1	4	48	1	3
91	102	20	3	5	51	0	0
92	98	19	2	4	48	0	3
93	97	20	2	5	44	1	3
94	101	22	1	4	45	0	5
95	97	19	3	6	52	0	0
96	105	23	0	4	45	1	3
97	101	18	5	4	53	0	0
98	104	21	5	4	47	0	0
99	101	21	4	4	49	0	1
100	105	18	2	6	48	0	3
