A	M	E	T	O	C	N
1	0.9	0.7	0.7	0.3	0.7	0.1
0.9	1	0.1	0.1	0.1	0.1	0.1
0.7	0.1	1	1	0.3	0.8	0.1
0.7	0.1	1	1	0.3	0.6	0.1
0.3	0.1	0.3	0.3	1	0.3	0.1
0.7	0.1	0.8	0.6	0.3	1	0.4
0.1	0.1	0.1	0.1	0.1	0.4	1
						
A	M	E	T	O	C	N
1	0.9	0.9	0.9	0.3	0.4	0.1
0.9	1	0.1	0.1	0.1	0.1	0.1
0.9	0.1	1	1	0.3	0.5	0.2
0.9	0.1	1	1	0.5	0.4	0.2
0.3	0.1	0.3	0.5	1	0.1	0.1
0.4	0.1	0.5	0.4	0.1	1	0.6
0.1	0.1	0.2	0.2	0.1	0.6	1
						
A	M	E	T	O	C	N
1	0.9	1	1	0.7	0.1	0.1
0.9	1	0.1	0.1	0.1	0.1	0.1
1	0.1	1	1	0.5	0.2	0.2
1	0.1	1	1	0.7	0.2	0.2
0.7	0.1	0.5	0.7	1	0.1	0.1
0.1	0.1	0.2	0.2	0.1	1	1
0.1	0.1	0.2	0.2	0.1	0.9	1

END

