249	7 (A M E O I N T)
Cyperus_ajax_Malaisse_and_Goetghebeur_130	1000000
Cyperus_albostriatus_Reid_726	1000000
Cyperus_betafensis_Larridon_2010_0200	0100000
Cyperus_buchholzii_Reynders_090307_03	1000000
Cyperus_chamaecephalus_Beentje_4774	0100000
Cyperus_davidsei_Thomas_12812	0000001
Cyperus_debilissimus_Larridon_2010_0103	0100000
Cyperus_denudatus_Muasya_and_Knox_1021	1111100
Cyperus_flaccidus_Jung_1008002	0001000
Cyperus_foliaceus_Larridon_2010_0034	1000000
Cyperus_haspan_Pereira_Silva_68	1111111
Cyperus_lacustris_Martinelli_17375	0000001
Cyperus_laxus_Pereira_Silva_415	0000001
Cyperus_lecontei_Abbott_23732	0000010
Cyperus_leptocladus_Reid_902	1000000
Cyperus_longifolius_Dorr_2744	0100000
Cyperus_molliglumis_Larridon_2010_0225	0100000
Cyperus_plantaginifolius_Larridon_2010_0069	0100000
Cyperus_prolifer_Larridon_2010_0003	1100000
Cyperus_purpureoviridis_Muasya_and_Knox_964	1000000
Cyperus_renschii_Mwachala_446	1000000
Cyperus_simplex_Martins_2923	0000001
Cyperus_subcastaneus_graomogolii_Pereira_Silva_293	0000001
Cyperus_subcastaneus_Prata_2832	0000001
Cyperus_tenuispica_Jung_807091	1011100
Cyperus_trigynus_Pereira_Silva_143	0000001
Cyperus_acuminatus_Reid_6171	0000010
Cyperus_andreanus_capitinduensis_Funez_9304	0000001
Cyperus_byssaceus_Trevisan_1050	0000001
Cyperus_cellulosoreticulatus_Pereira_Silva_135	0000001
Cyperus_consanguineus_Pereira_Silva_342	0000001
Cyperus_distinctus_Reid_and_Carter_7744	0000010
Cyperus_entrerianus_Pereira_Silva_158	0000011
Cyperus_eragrostis_Pereira_Silva_157	0000011
Cyperus_friburgensis_Pereira_Silva_370	0000001
Cyperus_incomtus_Pereira_Silva_432	0000001
Cyperus_inops_Funez_5995	0000001
Cyperus_intricatus_Pereira_Silva_325	0000001
Cyperus_luzulae_Van_den_Eynden_213	0000011
Cyperus_ochraceus_Pereira_Silva_386	0000011
Cyperus_pearcei_Pereira_Silva_393	0000001
Cyperus_pseudovegetus_Reid_and_Carter_8035	0000010
Cyperus_reflexus_fraternus_Pereira_Silva_264	0000001
Cyperus_reflexus_Pereira_Silva_45	0000011
Cyperus_sellowii_Trevisan_1130	0000001
Cyperus_surinamensis_Jansen_Jacobs_521	0000011
Cyperus_tabina_Domingos_496	0000001
Cyperus_unicolor_Pereira_Silva_409	0000001
Cyperus_virens_montanus_Pereira_Silva_160	0000001
Cyperus_virens_Pereira_Silva_390	0000011
Cyperus_assimilis_Faden_96_119	1100000
Cyperus_blepharoleptos_Reid_7796	1100011
Cyperus_dichrostachyus_Muasya_and_Knox_976	1100000
Cyperus_difformis_Reid_7579	1111100
Cyperus_fuscus_Retz_67715	1010100
Cyperus_gardneri_Schessl_3316	0000001
Cyperus_pectinatus_De_Wolf_92_86	1100000
Cyperus_platystylis_Chantaranothai_814	0011100
Cyperus_prophyllatus_Ribeiro_490	0000001
Cyperus_pseudokyllingioides_Larridon_2010_0261	1110100
Cyperus_reduncus_Malaisse_and_Goetghebeur_1171	1000000
Cyperus_submicrolepis_Laegaard_17222	1000000
Cyperus_alternifolius_Goetghebeur_11516	1110000
Cyperus_alternifolius_textilis_Goetghebeur_11517	1000000
Cyperus_marginatus_Larridon_2009_0076	1000000
Cyperus_phaeolepis_Phillipson_1647	0100000
Cyperus_kyllingiella_Muasya_1262	1000100
Cyperus_pulchellus_Muasya_1377	1111000
Cyperus_schomburgkianus_Pereira_Silva_259	0000001
Cyperus_seslerioides_Gonzalez_8114	0000011
Cyperus_steudneri_Muasya_and_Muthama_1247	1000000
Cyperus_uncinulatus_Pereira_Silva_394	0000001
Cyperus_africanus_Leeuwenberg_8527	1000000
Cyperus_aggregatus_Pereira_Silva_101	0000011
Cyperus_alatus_Acocks_22902	1000000
Cyperus_albescens_Reynders_and_Sabulao_26A	1111100
Cyperus_alleizettei_Larridon_2010_0299	0100000
Cyperus_alopecuroides_Hess_52_1581	1111100
Cyperus_amabilis_Ribeiro_454	1110111
Cyperus_amuricus_Jung_1009030	0010000
Cyperus_appendiculatus_noronhae_Figueira_848	0000001
Cyperus_aristulatus_Lathrop_1380	0000010
Cyperus_aromaticus_Beeckman_235	1100000
Cyperus_articulatus_Reid_7487	1111111
Cyperus_ascocapensis_Hess_52_1760	1000000
Cyperus_ascohemisphaericus_Reekmans_6729	1000000
Cyperus_ascopusillus_Malaisse_and_Goetghebeur_846	1110000
Cyperus_aterrimus_Muasya_and_Ramdhani_2722	1000000
Cyperus_barrosianus_Pereira_Silva_38a	0000001
Cyperus_bipartitus_Goetghebeur_11990	0000011
Cyperus_blodgettii_Reid_and_Carter_8665	0000010
Cyperus_bracheilema_Muasya_and_Knox_991	1000000
Cyperus_brasiliensis_Pereira_Silva_411	1100001
Cyperus_brevifolius_Reynders_and_Sabulao_68	1111111
Cyperus_bulbosus_Laegaard_17024	1011100
Cyperus_capillifolius_Pereira_Silva_275	1100001
Cyperus_capitatus_Goetghebeur_10744	1010000
Cyperus_cataractarum_De_Wilde_1452	1000000
